binID,chr,start,end,count,blID,blType
1,chr1,0,792500,7896,hsHSR_1,2
2,chr1,91386300,91388400,426,hsLM_1,1
3,chr1,103594400,103760600,612,hsHSR_2,2
4,chr1,121605200,124938900,2887,hsHSR_3,2
5,chr1,125067600,125086000,92,hsHSR_4,2
6,chr1,125130200,143562200,11775,hsHSR_5,2
7,chr1,161423100,161472400,65326,hsHSR_6,2
8,chr1,168348600,168349900,18,hsHSR_7,2
9,chr1,224010800,224017000,42,hsHSR_8,2
10,chr1,236713000,236715600,30,hsLM_2,1
11,chr1,248932700,248956400,173,hsHSR_9,2
167,chr2,1221700,1223900,130,hsHSR_146,2
168,chr2,1594700,1605200,31,hsHSR_147,2
169,chr2,3179600,3182100,38,hsHSR_148,2
170,chr2,4643800,4648800,118,hsHSR_149,2
171,chr2,10952800,10955000,30,hsHSR_150,2
172,chr2,13718700,13737700,134,hsHSR_151,2
173,chr2,21903500,21906400,83,hsHSR_152,2
174,chr2,32865900,32869900,728,hsHSR_153,2
175,chr2,32915300,32918400,9609,hsHSR_154,2
176,chr2,33766500,33768400,2,hsHSR_155,2
177,chr2,36183000,36184500,0,hsHSR_156,2
178,chr2,49228700,49230700,78,hsHSR_157,2
179,chr2,64359300,64377000,63,hsHSR_158,2
180,chr2,86655300,86661100,138,hsHSR_159,2
181,chr2,86900700,87078100,1727,hsLM_22,1
182,chr2,87119300,87189800,671,hsLM_23,1
183,chr2,87217000,87866200,5241,hsHSR_160,2
184,chr2,88771000,88806500,367,hsHSR_161,2
185,chr2,89235300,89947100,3375,hsHSR_162,2
186,chr2,90246300,91735500,4316,hsHSR_163,2
187,chr2,91783000,91924800,1223,hsLM_24,1
188,chr2,91969000,94569500,2992,hsHSR_164,2
189,chr2,95849400,96067900,1396,hsHSR_165,2
190,chr2,97106300,97615800,3410,hsHSR_166,2
191,chr2,109198400,109200700,38,hsHSR_167,2
192,chr2,109744600,110095200,3064,hsHSR_168,2
193,chr2,110229200,110633400,3565,hsLM_25,1
194,chr2,111253600,111500500,1315,hsLM_26,1
195,chr2,112346200,112441300,1061,hsLM_27,1
196,chr2,113370100,113662700,2320,hsHSR_169,2
197,chr2,130496800,130716400,2255,hsHSR_170,2
198,chr2,132201000,132288900,1298,hsHSR_171,2
199,chr2,132353600,132364500,56,hsHSR_172,2
200,chr2,148880800,148882800,887,hsHSR_173,2
201,chr2,161277700,161283400,120,hsHSR_174,2
202,chr2,181274800,181276800,144,hsHSR_175,2
203,chr2,226108500,226110400,64,hsHSR_176,2
204,chr2,234889800,234894400,103,hsHSR_177,2
205,chr2,239642200,239645600,15,hsHSR_178,2
206,chr2,240308100,240310300,84,hsHSR_179,2
207,chr2,241589300,241591800,0,hsHSR_180,2
208,chr2,242005900,242011100,0,hsHSR_181,2
209,chr2,242110100,242193500,376,hsHSR_182,2
232,chr3,0,11600,141,hsHSR_205,2
233,chr3,3895200,3896700,48,hsHSR_206,2
234,chr3,4916700,4922500,81,hsHSR_207,2
235,chr3,14091000,14092500,37,hsHSR_208,2
236,chr3,15187200,15207800,349,hsHSR_209,2
237,chr3,15592100,15603300,186,hsHSR_210,2
238,chr3,16176800,16179200,0,hsHSR_211,2
239,chr3,16679700,16682500,81,hsHSR_212,2
240,chr3,19499700,19504000,187,hsHSR_213,2
241,chr3,19624000,19627100,61,hsHSR_214,2
242,chr3,21983200,21988100,85,hsHSR_215,2
243,chr3,24053500,24054900,37,hsHSR_216,2
244,chr3,26384800,26404100,204,hsHSR_217,2
245,chr3,29993900,29999900,111,hsHSR_218,2
246,chr3,36987500,36995000,16,hsHSR_219,2
247,chr3,38083400,38085400,10,hsHSR_220,2
248,chr3,38406100,38430900,357,hsHSR_221,2
249,chr3,39366700,39386000,323,hsHSR_222,2
250,chr3,40219400,40240500,283,hsHSR_223,2
251,chr3,49671000,49696700,294,hsHSR_224,2
252,chr3,51457800,51462000,134,hsHSR_225,2
253,chr3,57326800,57328500,72,hsHSR_226,2
254,chr3,65124100,65126100,46,hsHSR_227,2
255,chr3,65510000,65513900,56,hsHSR_228,2
256,chr3,65697400,65699300,27,hsHSR_229,2
257,chr3,66273800,66275200,28,hsHSR_230,2
258,chr3,68076400,68077800,15,hsHSR_231,2
259,chr3,69047300,69053600,39,hsHSR_232,2
260,chr3,69475300,69479700,120,hsHSR_233,2
261,chr3,75630100,75707800,581,hsHSR_234,2
262,chr3,75736400,75754600,136,hsHSR_235,2
263,chr3,78948800,78950500,25,hsHSR_236,2
264,chr3,80876000,80894000,318,hsHSR_237,2
265,chr3,89345600,89370500,244,hsHSR_238,2
266,chr3,90156400,90175500,171,hsHSR_239,2
267,chr3,90455400,91297100,1747,hsHSR_240,2
268,chr3,91516200,93749200,2142,hsHSR_241,2
269,chr3,96616300,96619300,106,hsHSR_242,2
270,chr3,97905100,97923200,188,hsHSR_243,2
271,chr3,101674800,101698400,772,hsHSR_244,2
272,chr3,103224300,103236500,133,hsHSR_245,2
273,chr3,106665700,106669700,86,hsHSR_246,2
274,chr3,106975900,106979600,71,hsHSR_247,2
275,chr3,108751100,108755100,48,hsHSR_248,2
276,chr3,111019500,111024600,118,hsHSR_249,2
277,chr3,121933800,121936400,32,hsHSR_250,2
278,chr3,122414300,122417500,7,hsHSR_251,2
279,chr3,122735500,122796600,729,hsHSR_252,2
280,chr3,122837000,122838700,75,hsHSR_253,2
281,chr3,133177100,133179800,72,hsHSR_254,2
282,chr3,133551500,133579500,549,hsHSR_255,2
283,chr3,135437200,135439100,16,hsHSR_256,2
284,chr3,136954600,136969200,194,hsHSR_257,2
285,chr3,137168400,137169900,24,hsHSR_258,2
286,chr3,138575800,138595900,313,hsHSR_259,2
287,chr3,139190800,139194700,93,hsHSR_260,2
