binID,chr,start,end,count,blID,blType
1,chr1,0,792500,10059,hsHSR_1,2
2,chr1,91386300,91388400,17,hsLM_1,1
3,chr1,103594400,103760600,162,hsHSR_2,2
4,chr1,121605200,124938900,2347,hsHSR_3,2
5,chr1,125067600,125086000,46,hsHSR_4,2
6,chr1,125130200,143562200,9658,hsHSR_5,2
7,chr1,161423100,161472400,7941,hsHSR_6,2
8,chr1,168348600,168349900,19,hsHSR_7,2
9,chr1,224010800,224017000,23,hsHSR_8,2
10,chr1,236713000,236715600,22,hsLM_2,1
11,chr1,248932700,248956400,69,hsHSR_9,2
167,chr2,1221700,1223900,4,hsHSR_146,2
168,chr2,1594700,1605200,5,hsHSR_147,2
169,chr2,3179600,3182100,4,hsHSR_148,2
170,chr2,4643800,4648800,77,hsHSR_149,2
171,chr2,10952800,10955000,5,hsHSR_150,2
172,chr2,13718700,13737700,126,hsHSR_151,2
173,chr2,21903500,21906400,56,hsHSR_152,2
174,chr2,32865900,32869900,103,hsHSR_153,2
175,chr2,32915300,32918400,5710,hsHSR_154,2
176,chr2,33766500,33768400,2,hsHSR_155,2
177,chr2,36183000,36184500,0,hsHSR_156,2
178,chr2,49228700,49230700,52,hsHSR_157,2
179,chr2,64359300,64377000,37,hsHSR_158,2
180,chr2,86655300,86661100,155,hsHSR_159,2
181,chr2,86900700,87078100,6091,hsLM_22,1
182,chr2,87119300,87189800,833,hsLM_23,1
183,chr2,87217000,87866200,7348,hsHSR_160,2
184,chr2,88771000,88806500,289,hsHSR_161,2
185,chr2,89235300,89947100,2495,hsHSR_162,2
186,chr2,90246300,91735500,4693,hsHSR_163,2
187,chr2,91783000,91924800,1155,hsLM_24,1
188,chr2,91969000,94569500,2436,hsHSR_164,2
189,chr2,95849400,96067900,4493,hsHSR_165,2
190,chr2,97106300,97615800,4971,hsHSR_166,2
191,chr2,109198400,109200700,24,hsHSR_167,2
192,chr2,109744600,110095200,4710,hsHSR_168,2
193,chr2,110229200,110633400,5167,hsLM_25,1
194,chr2,111253600,111500500,2559,hsLM_26,1
195,chr2,112346200,112441300,1680,hsLM_27,1
196,chr2,113370100,113662700,9924,hsHSR_169,2
197,chr2,130496800,130716400,2815,hsHSR_170,2
198,chr2,132201000,132288900,477,hsHSR_171,2
199,chr2,132353600,132364500,150,hsHSR_172,2
200,chr2,148880800,148882800,9,hsHSR_173,2
201,chr2,161277700,161283400,56,hsHSR_174,2
202,chr2,181274800,181276800,8,hsHSR_175,2
203,chr2,226108500,226110400,54,hsHSR_176,2
204,chr2,234889800,234894400,85,hsHSR_177,2
205,chr2,239642200,239645600,18,hsHSR_178,2
206,chr2,240308100,240310300,1,hsHSR_179,2
207,chr2,241589300,241591800,3,hsHSR_180,2
208,chr2,242005900,242011100,3,hsHSR_181,2
209,chr2,242110100,242193500,414,hsHSR_182,2
232,chr3,0,11600,2,hsHSR_205,2
233,chr3,3895200,3896700,18,hsHSR_206,2
234,chr3,4916700,4922500,128,hsHSR_207,2
235,chr3,14091000,14092500,27,hsHSR_208,2
236,chr3,15187200,15207800,1614,hsHSR_209,2
237,chr3,15592100,15603300,1315,hsHSR_210,2
238,chr3,16176800,16179200,1,hsHSR_211,2
239,chr3,16679700,16682500,68,hsHSR_212,2
240,chr3,19499700,19504000,63,hsHSR_213,2
241,chr3,19624000,19627100,58,hsHSR_214,2
