binID,chr,start,end,count,blID,blType
1,chr1,0,792500,4318,hsHSR_1,2
2,chr1,91386300,91388400,12,hsLM_1,1
3,chr1,103594400,103760600,203,hsHSR_2,2
4,chr1,121605200,124938900,796,hsHSR_3,2
5,chr1,125067600,125086000,5,hsHSR_4,2
6,chr1,125130200,143562200,1903,hsHSR_5,2
7,chr1,161423100,161472400,487,hsHSR_6,2
8,chr1,168348600,168349900,10,hsHSR_7,2
9,chr1,224010800,224017000,21,hsHSR_8,2
10,chr1,236713000,236715600,15,hsLM_2,1
11,chr1,248932700,248956400,44,hsHSR_9,2
167,chr2,1221700,1223900,11,hsHSR_146,2
168,chr2,1594700,1605200,16,hsHSR_147,2
169,chr2,3179600,3182100,2,hsHSR_148,2
170,chr2,4643800,4648800,34,hsHSR_149,2
171,chr2,10952800,10955000,0,hsHSR_150,2
172,chr2,13718700,13737700,61,hsHSR_151,2
173,chr2,21903500,21906400,9,hsHSR_152,2
174,chr2,32865900,32869900,320,hsHSR_153,2
175,chr2,32915300,32918400,3141,hsHSR_154,2
176,chr2,33766500,33768400,0,hsHSR_155,2
177,chr2,36183000,36184500,0,hsHSR_156,2
178,chr2,49228700,49230700,46,hsHSR_157,2
179,chr2,64359300,64377000,59,hsHSR_158,2
180,chr2,86655300,86661100,39,hsHSR_159,2
181,chr2,86900700,87078100,1838,hsLM_22,1
182,chr2,87119300,87189800,414,hsLM_23,1
183,chr2,87217000,87866200,2908,hsHSR_160,2
184,chr2,88771000,88806500,95,hsHSR_161,2
185,chr2,89235300,89947100,1690,hsHSR_162,2
186,chr2,90246300,91735500,2182,hsHSR_163,2
187,chr2,91783000,91924800,685,hsLM_24,1
188,chr2,91969000,94569500,719,hsHSR_164,2
189,chr2,95849400,96067900,621,hsHSR_165,2
190,chr2,97106300,97615800,1531,hsHSR_166,2
191,chr2,109198400,109200700,18,hsHSR_167,2
192,chr2,109744600,110095200,1758,hsHSR_168,2
193,chr2,110229200,110633400,1875,hsLM_25,1
194,chr2,111253600,111500500,676,hsLM_26,1
195,chr2,112346200,112441300,564,hsLM_27,1
196,chr2,113370100,113662700,1581,hsHSR_169,2
197,chr2,130496800,130716400,1290,hsHSR_170,2
198,chr2,132201000,132288900,389,hsHSR_171,2
199,chr2,132353600,132364500,29,hsHSR_172,2
200,chr2,148880800,148882800,81,hsHSR_173,2
201,chr2,161277700,161283400,29,hsHSR_174,2
202,chr2,181274800,181276800,14,hsHSR_175,2
203,chr2,226108500,226110400,22,hsHSR_176,2
204,chr2,234889800,234894400,20,hsHSR_177,2
205,chr2,239642200,239645600,33,hsHSR_178,2
206,chr2,240308100,240310300,4,hsHSR_179,2
207,chr2,241589300,241591800,4,hsHSR_180,2
208,chr2,242005900,242011100,4,hsHSR_181,2
209,chr2,242110100,242193500,236,hsHSR_182,2
232,chr3,0,11600,20,hsHSR_205,2
233,chr3,3895200,3896700,7,hsHSR_206,2
234,chr3,4916700,4922500,39,hsHSR_207,2
235,chr3,14091000,14092500,41,hsHSR_208,2
236,chr3,15187200,15207800,135,hsHSR_209,2
237,chr3,15592100,15603300,139,hsHSR_210,2
238,chr3,16176800,16179200,5,hsHSR_211,2
239,chr3,16679700,16682500,9,hsHSR_212,2
240,chr3,19499700,19504000,24,hsHSR_213,2
241,chr3,19624000,19627100,19,hsHSR_214,2
242,chr3,21983200,21988100,25,hsHSR_215,2
243,chr3,24053500,24054900,11,hsHSR_216,2
244,chr3,26384800,26404100,174,hsHSR_217,2
245,chr3,29993900,29999900,83,hsHSR_218,2
246,chr3,36987500,36995000,21,hsHSR_219,2
247,chr3,38083400,38085400,19,hsHSR_220,2
248,chr3,38406100,38430900,229,hsHSR_221,2
249,chr3,39366700,39386000,139,hsHSR_222,2
250,chr3,40219400,40240500,98,hsHSR_223,2
251,chr3,49671000,49696700,245,hsHSR_224,2
252,chr3,51457800,51462000,38,hsHSR_225,2
253,chr3,57326800,57328500,6,hsHSR_226,2
254,chr3,65124100,65126100,22,hsHSR_227,2
255,chr3,65510000,65513900,28,hsHSR_228,2
256,chr3,65697400,65699300,9,hsHSR_229,2
257,chr3,66273800,66275200,6,hsHSR_230,2
258,chr3,68076400,68077800,14,hsHSR_231,2
259,chr3,69047300,69053600,24,hsHSR_232,2
260,chr3,69475300,69479700,36,hsHSR_233,2
261,chr3,75630100,75707800,219,hsHSR_234,2
262,chr3,75736400,75754600,30,hsHSR_235,2
263,chr3,78948800,78950500,11,hsHSR_236,2
264,chr3,80876000,80894000,237,hsHSR_237,2
265,chr3,89345600,89370500,133,hsHSR_238,2
266,chr3,90156400,90175500,116,hsHSR_239,2
267,chr3,90455400,91297100,303,hsHSR_240,2
268,chr3,91516200,93749200,227,hsHSR_241,2
269,chr3,96616300,96619300,112,hsHSR_242,2
270,chr3,97905100,97923200,105,hsHSR_243,2
271,chr3,101674800,101698400,355,hsHSR_244,2
272,chr3,103224300,103236500,81,hsHSR_245,2
273,chr3,106665700,106669700,30,hsHSR_246,2
274,chr3,106975900,106979600,33,hsHSR_247,2
275,chr3,108751100,108755100,10,hsHSR_248,2
276,chr3,111019500,111024600,31,hsHSR_249,2
277,chr3,121933800,121936400,20,hsHSR_250,2
278,chr3,122414300,122417500,10,hsHSR_251,2
279,chr3,122735500,122796600,558,hsHSR_252,2
280,chr3,122837000,122838700,21,hsHSR_253,2
281,chr3,133177100,133179800,16,hsHSR_254,2
282,chr3,133551500,133579500,279,hsHSR_255,2
283,chr3,135437200,135439100,4,hsHSR_256,2
284,chr3,136954600,136969200,88,hsHSR_257,2
285,chr3,137168400,137169900,11,hsHSR_258,2
286,chr3,138575800,138595900,191,hsHSR_259,2
287,chr3,139190800,139194700,24,hsHSR_260,2
288,chr3,153236200,153241300,32,hsHSR_261,2
289,chr3,155544100,155546700,14,hsHSR_262,2
290,chr3,156279000,156283500,24,hsHSR_263,2
291,chr3,157080800,157093400,10,hsHSR_264,2
292,chr3,158511300,158513100,16,hsHSR_265,2
293,chr3,160941200,160948700,31,hsHSR_266,2
294,chr3,161001900,161014100,97,hsHSR_267,2
295,chr3,165573100,165591000,74,hsHSR_268,2
296,chr3,166228200,166232400,23,hsHSR_269,2
297,chr3,168012100,168016800,27,hsHSR_270,2
298,chr3,170567000,170569900,11,hsHSR_271,2
299,chr3,170864300,170881400,210,hsHSR_272,2
300,chr3,171626600,171637700,60,hsHSR_273,2
301,chr3,174829200,174831800,23,hsHSR_274,2
302,chr3,176828700,176833000,21,hsHSR_275,2
303,chr3,177660600,177664000,23,hsHSR_276,2
304,chr3,178926800,178941300,145,hsHSR_277,2
305,chr3,183016900,183019100,5,hsHSR_278,2
306,chr3,183955400,183958700,2,hsHSR_279,2
307,chr3,187893900,187896100,13,hsHSR_280,2
308,chr3,192739300,192742700,17,hsHSR_281,2
309,chr3,194323600,194334900,55,hsHSR_282,2
310,chr3,195477900,195507300,4,hsHSR_283,2
311,chr3,195616000,195750100,1033,hsHSR_284,2
312,chr3,195775500,195791400,2,hsHSR_285,2
313,chr3,195914100,196028300,582,hsHSR_286,2
314,chr3,196249400,196251900,0,hsHSR_287,2
315,chr3,196897800,196899800,26,hsHSR_288,2
316,chr3,197030600,197035800,3,hsHSR_289,2
317,chr3,197383400,197428800,356,hsHSR_290,2
318,chr3,197454700,197460800,41,hsHSR_291,2
319,chr3,197598400,197680900,382,hsHSR_292,2
320,chr3,198099800,198295500,369,hsHSR_293,2
321,chr4,0,69200,334,hsHSR_294,2
322,chr4,554100,556500,5,hsHSR_295,2
323,chr4,1427000,1468900,154,hsHSR_296,2
324,chr4,6002700,6005700,1,hsHSR_297,2
325,chr4,7863000,7865000,24,hsHSR_298,2
326,chr4,9212700,9369600,126,hsHSR_299,2
327,chr4,40291700,40318200,366,hsHSR_300,2
328,chr4,49077200,51816100,3818,hsHSR_301,2
329,chr4,55327200,55329200,38,hsHSR_302,2
330,chr4,77994000,78009600,129,hsHSR_303,2
331,chr4,119274400,119301700,108,hsHSR_304,2
332,chr4,146285100,146305300,48,hsHSR_305,2
333,chr4,162420500,162422400,5,hsHSR_306,2
334,chr4,166554300,166581300,136,hsLM_28,1
335,chr4,181238800,181242300,9,hsLM_29,1
336,chr4,189232500,189236300,33,hsHSR_307,2
337,chr4,189834900,189849700,34,hsHSR_308,2
338,chr4,189877500,190023700,1326,hsHSR_309,2
339,chr4,190048600,190214500,448,hsHSR_310,2
340,chr5,0,44100,128,hsHSR_311,2
341,chr5,548300,564100,99,hsHSR_312,2
342,chr5,647600,651700,0,hsHSR_313,2
343,chr5,1326100,1334600,6,hsHSR_314,2
344,chr5,2144600,2147800,36,hsHSR_315,2
345,chr5,2489800,2491700,0,hsHSR_316,2
346,chr5,3322100,3325100,2,hsHSR_317,2
347,chr5,6967700,6971700,22,hsHSR_318,2
