generic_generic_generic_RAW	RFC	No-100	all	{"criterion": "gini", "max_depth": 10, "max_features": "sqrt", "n_estimators": 1000}	0.814	0.166
generic_generic_generic_MAP	RFC	No-100	all	{"criterion": "gini", "max_depth": 10, "max_features": null, "n_estimators": 100}	0.819	0.164
generic_generic_generic_LOC	RFC	No-100	all	{"criterion": "gini", "max_depth": null, "max_features": "sqrt", "n_estimators": 500}	0.814	0.176
generic_generic_generic_TSS	RFC	No-100	all	{"criterion": "gini", "max_depth": null, "max_features": "sqrt", "n_estimators": 500}	0.759	0.200
generic_generic_generic_RAW-MAP	RFC	No-100	all	{"criterion": "entropy", "max_depth": 20, "max_features": "auto", "n_estimators": 500}	0.871	0.137
generic_generic_generic_RAW-LOC	RFC	No-100	all	{"criterion": "gini", "max_depth": null, "max_features": "log2", "n_estimators": 1000}	0.907	0.123
generic_generic_generic_RAW-TSS	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "auto", "n_estimators": 1000}	0.888	0.135
generic_generic_generic_MAP-LOC	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "auto", "n_estimators": 1000}	0.918	0.115
generic_generic_generic_MAP-TSS	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "auto", "n_estimators": 1000}	0.898	0.128
generic_generic_generic_LOC-TSS	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "sqrt", "n_estimators": 500}	0.827	0.171
generic_generic_generic_RAW-MAP-LOC	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "log2", "n_estimators": 100}	0.923	0.111
generic_generic_generic_RAW-MAP-TSS	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "auto", "n_estimators": 1000}	0.911	0.120
generic_generic_generic_RAW-LOC-TSS	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": null, "n_estimators": 200}	0.904	0.124
generic_generic_generic_MAP-LOC-TSS	RFC	chi2-75	1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1	{"criterion": "entropy", "max_depth": null, "max_features": "auto", "n_estimators": 1000}	0.918	0.116
generic_generic_generic_RAW-MAP-LOC-TSS	RFC	No-100	all	{"criterion": "entropy", "max_depth": null, "max_features": "log2", "n_estimators": 200}	0.924	0.113
